ts_iso,ts_epoch,event,market_slug,event_url,market_url,price_prev,mid_before,mid,delta,abs_delta,z,abs_z,direction_strength,signal,volume,best_bid,best_ask,spread,percentile,severity,burst,trade_hint,regime,game_phase
2026-02-16T21:01:32Z,1771275692,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.31450,0.31000,0.31400,0.00400,0.00400,1.86,1.86,0.007430,SPIKE,35873,0.3070,0.3210,0.01400,98%,WATCH,,,MEAN_REVERT,UNKNOWN
2026-02-16T21:07:22Z,1771276042,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17450,0.17500,0.17050,-0.00450,0.00450,-1.92,1.92,-0.008631,DIP,52,0.1490,0.1920,0.04300,99%,WATCH,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:08:10Z,1771276090,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.30800,0.30800,0.30350,-0.00450,0.00450,-3.56,3.56,-0.015998,DIP,39892,0.2970,0.3100,0.01300,99%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T21:08:10Z,1771276090,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.30350,0.30800,0.30400,-0.00400,0.00400,-2.89,2.89,-0.011541,DIP,39892,0.2980,0.3100,0.01200,98%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T21:08:23Z,1771276103,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17050,0.17550,0.17050,-0.00500,0.00500,-1.64,1.64,-0.008223,DIP,52,0.1490,0.1920,0.04300,100%,WATCH,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:09:34Z,1771276174,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17550,0.17500,0.17050,-0.00450,0.00450,-1.54,1.54,-0.006920,DIP,52,0.1490,0.1920,0.04300,99%,WATCH,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:09:42Z,1771276182,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.30750,0.30800,0.31300,0.00500,0.00500,4.03,4.03,0.020166,SPIKE,44663,0.3040,0.3220,0.01800,100%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T21:09:42Z,1771276182,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.31300,0.30750,0.31250,0.00500,0.00500,3.23,3.23,0.016169,SPIKE,44663,0.3040,0.3210,0.01700,99%,ALERT,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T21:09:53Z,1771276193,Norfolk State vs. Maryland Eastern Shore,aec-cbb-norfst-mdes-2026-02-16,https://polymarket.us/event/aec-cbb-norfst-mdes-2026-02-16,https://polymarket.us/market/aec-cbb-norfst-mdes-2026-02-16,0.53350,0.53200,0.53550,0.00350,0.00350,2.01,2.01,0.007025,SPIKE,10416,0.5310,0.5400,0.00900,97%,WATCH,,FADE,MEAN_REVERT,UNKNOWN
2026-02-16T21:09:56Z,1771276196,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.31350,0.31250,0.30900,-0.00350,0.00350,-1.22,1.22,-0.004254,DIP,44667,0.3060,0.3120,0.00600,97%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T21:10:34Z,1771276234,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17050,0.17550,0.17050,-0.00500,0.00500,-1.44,1.44,-0.007199,DIP,52,0.1490,0.1920,0.04300,100%,INFO,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:11:35Z,1771276295,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17050,0.17550,0.17050,-0.00500,0.00500,-1.37,1.37,-0.006855,DIP,52,0.1490,0.1920,0.04300,100%,INFO,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:13:07Z,1771276387,Coppin State vs. South Carolina State,aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/event/aec-cbb-coppst-scarst-2026-02-16,https://polymarket.us/market/aec-cbb-coppst-scarst-2026-02-16,0.31100,0.30850,0.31150,0.00300,0.00300,1.48,1.48,0.004428,SPIKE,46200,0.3090,0.3140,0.00500,98%,INFO,,,MEAN_REVERT,UNKNOWN
2026-02-16T21:13:10Z,1771276390,Ball State vs. Ohio,aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/event/aec-cbb-ballst-ohio-2026-02-17,https://polymarket.us/market/aec-cbb-ballst-ohio-2026-02-17,0.17550,0.17500,0.17050,-0.00450,0.00450,-1.35,1.35,-0.006097,DIP,52,0.1490,0.1920,0.04300,99%,INFO,,,MEAN_REVERT,PRE_GAME
2026-02-16T21:15:51Z,1771276551,UCLA vs. Michigan State,aec-cbb-ucla-mst-2026-02-17,https://polymarket.us/event/aec-cbb-ucla-mst-2026-02-17,https://polymarket.us/market/aec-cbb-ucla-mst-2026-02-17,0.17200,0.17100,0.17450,0.00350,0.00350,4.97,4.97,0.017390,SPIKE,7,0.1680,0.1810,0.01300,99%,ALERT,,FADE,MEAN_REVERT,PRE_GAME
