ts,event,slug,side,qty,entry_mid,exit_mid,pnl,cash_after,reason,fee,z_score
2026-02-16 21:09:44,OPEN,aec-cbb-coppst-scarst-2026-02-16,BUY_NO,1.4265,0.313000,,,6.74,,0.0050,4.03
2026-02-16 21:29:45,CLOSE,aec-cbb-coppst-scarst-2026-02-16,BUY_NO,1.4265,0.313000,0.334000,-0.0511,7.99,time_exit,0.0097,4.03
2026-02-16 21:37:19,OPEN,aec-cbb-coppst-scarst-2026-02-16,BUY_NO,1.4327,0.313000,,,6.71,,0.0050,4.60
2026-02-16 21:38:18,OPEN,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.3947,0.293500,,,6.02,,0.0050,3.96
2026-02-16 21:48:20,CLOSE,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.3947,0.293500,0.290000,-0.0113,7.29,breakeven,0.0099,3.96
2026-02-16 21:53:53,CLOSE,aec-cbb-coppst-scarst-2026-02-16,BUY_NO,1.4327,0.313000,0.322000,-0.0313,7.98,breakeven,0.0098,4.60
2026-02-16 22:34:34,OPEN,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.2937,0.242500,,,6.23,,0.0050,4.71
2026-02-16 22:42:30,CLOSE,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.2937,0.242500,0.201000,0.0274,7.49,tp,0.0101,4.71
2026-02-16 22:50:49,OPEN,aec-cbb-arpb-alaam-2026-02-16,BUY_NO,1.5924,0.385500,,,7.07,,0.0050,4.76
2026-02-16 22:59:02,OPEN,aec-cbb-flam-alcst-2026-02-16,BUY_NO,2.1277,0.537500,,,6.44,,0.0049,3.86
2026-02-16 23:00:51,CLOSE,aec-cbb-arpb-alaam-2026-02-16,BUY_NO,1.5924,0.385500,0.378000,-0.0115,7.49,breakeven,0.0099,4.76
2026-02-16 23:14:11,OPEN,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.2422,0.208000,,,6.13,,0.0050,3.53
2026-02-16 23:15:45,CLOSE,aec-cbb-loulaf-old-2026-02-16,BUY_NO,1.2422,0.208000,0.319000,-0.1558,7.17,sl,0.0092,3.53
2026-02-16 23:19:05,CLOSE,aec-cbb-flam-alcst-2026-02-16,BUY_NO,2.1277,0.537500,0.531000,-0.0014,8.00,time_exit,0.0099,3.86
