ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase
1771275692,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.31400,0.00400,1.85761,0.007430,35873,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01400,0.0000,UNKNOWN
1771276042,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00450,1.91803,-0.008631,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276090,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,DIP,0.30350,-0.00450,3.55511,-0.015998,39892,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.01300,0.0039,UNKNOWN
1771276090,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,DIP,0.30400,-0.00400,2.88515,-0.011541,39892,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.01200,0.0000,UNKNOWN
1771276103,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00500,1.64464,-0.008223,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276174,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00450,1.53778,-0.006920,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276182,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.31300,0.00500,4.03323,0.020166,44663,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.01800,0.0051,UNKNOWN
1771276182,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.31250,0.00500,3.23371,0.016169,44663,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.01700,0.0000,UNKNOWN
1771276193,aec-cbb-norfst-mdes-2026-02-16,Norfolk State vs. Maryland Eastern Shore,SPIKE,0.53550,0.00350,2.00702,0.007025,10416,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.00900,0.0000,UNKNOWN
1771276196,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,DIP,0.30900,-0.00350,1.21529,-0.004254,44667,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00600,0.0000,UNKNOWN
1771276234,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00500,1.43988,-0.007199,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276295,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00500,1.37092,-0.006855,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276387,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.31150,0.00300,1.47609,0.004428,46200,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00500,0.0000,UNKNOWN
1771276390,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00450,1.35499,-0.006097,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276551,aec-cbb-ucla-mst-2026-02-17,UCLA vs. Michigan State,SPIKE,0.17450,0.00350,4.96870,0.017390,7,FADE,REJECT,REJECT_VOLUME,MEAN_REVERT,0.01300,0.0000,PRE_GAME
1771276582,aec-cbb-ballst-ohio-2026-02-17,Ball State vs. Ohio,DIP,0.17050,-0.00450,1.34560,-0.006055,52,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04300,0.0000,PRE_GAME
1771276630,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.31450,0.00300,4.10251,0.012308,49939,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.01100,0.0053,UNKNOWN
1771276637,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,DIP,0.27400,-0.01000,2.64471,-0.026447,1585,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.02800,0.0016,PRE_GAME
1771276637,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,DIP,0.26600,-0.00800,2.73101,-0.021848,1585,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.04400,0.0000,PRE_GAME
1771276637,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,DIP,0.25800,-0.00700,2.34403,-0.016408,1585,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.06000,0.0000,PRE_GAME
1771276657,aec-cbb-hou-iowast-2026-02-16,Houston vs. Iowa State,SPIKE,0.41950,0.00400,2.04175,0.008167,44735,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.00100,0.0001,UNKNOWN
1771276745,aec-cbb-colg-bostu-2026-02-16,Colgate vs. Boston,DIP,0.56950,-0.00350,1.63126,-0.005709,29399,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00100,0.0000,UNKNOWN
1771276758,aec-cbb-hou-iowast-2026-02-16,Houston vs. Iowa State,SPIKE,0.41950,0.00400,1.69214,0.006769,47306,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00100,0.0000,UNKNOWN
1771276760,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.32200,0.00350,4.54929,0.015923,52449,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.01200,0.0064,UNKNOWN
1771276764,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,DIP,0.31900,-0.00300,2.48351,-0.007451,52449,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00600,0.0000,UNKNOWN
1771276778,aec-cbb-hou-iowast-2026-02-16,Houston vs. Iowa State,DIP,0.41450,-0.00550,1.24770,-0.006862,47330,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00900,0.0000,UNKNOWN
1771276783,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.32350,0.00350,2.94844,0.010320,52671,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00900,0.0000,UNKNOWN
1771276788,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.28400,0.01000,3.49913,0.034991,1585,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.00800,0.0037,PRE_GAME
1771276789,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,DIP,0.32100,-0.00300,1.62725,-0.004882,52671,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00200,0.0000,UNKNOWN
1771276793,aec-cbb-hou-iowast-2026-02-16,Houston vs. Iowa State,DIP,0.41450,-0.00400,1.21366,-0.004855,47364,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.00900,0.0000,UNKNOWN
1771276806,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.28700,0.00300,3.58490,0.010755,1585,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.01400,0.0000,PRE_GAME
1771276807,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,DIP,0.28050,-0.00650,2.23463,-0.014525,1585,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00100,0.0000,PRE_GAME
1771276809,aec-cbb-coppst-scarst-2026-02-16,Coppin State vs. South Carolina State,SPIKE,0.32450,0.00300,2.38636,0.007159,53164,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00700,0.0000,UNKNOWN
1771276882,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.28700,0.00650,3.08177,0.020032,1585,FADE,ACCEPT,ACCEPT_FADE,MEAN_REVERT,0.01400,0.0027,PRE_GAME
1771276887,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.29100,0.00400,3.33059,0.013322,1585,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00600,0.0000,PRE_GAME
1771276891,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,DIP,0.27800,-0.01300,1.25664,-0.016336,1724,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03200,0.0000,PRE_GAME
1771276891,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.29100,0.01250,2.85407,0.035676,1724,FADE,REJECT,REJECT_COOLDOWN,MEAN_REVERT,0.00600,0.0000,PRE_GAME
1771276922,aec-cbb-ncar-ncst-2026-02-17,North Carolina vs. North Carolina State,SPIKE,0.28150,0.00300,1.39592,0.004188,1824,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03900,0.0000,PRE_GAME
1771277057,aec-cbb-bcook-jackst-2026-02-16,Bethune-Cookman vs. Jackson State,DIP,0.67900,-0.00350,3.34926,-0.011722,19717,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.00200,0.0000,UNKNOWN
