ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771900706,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.68500,0.00500,2.00000,0.010000,243025,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900707,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.69500,0.01000,2.88675,0.028868,244609,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.05000,0.0000,LIVE,3,6
1771900708,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.69000,0.00500,1.51637,0.007582,244609,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900708,aec-nba-sa-det-2026-02-23,San Antonio vs. Detroit,DIP,0.97000,-0.00500,1.34164,-0.006708,610402,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,4,10
1771900708,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.69500,0.00500,2.10400,0.010520,244609,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900709,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70000,0.00500,2.35339,0.011767,244609,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900709,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.69500,-0.00500,1.42257,-0.007113,244609,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900712,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.67500,-0.00500,1.50808,-0.007540,244609,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900712,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.67500,-0.00500,1.39700,-0.006985,244609,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900715,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70000,0.02000,2.24416,0.044883,244617,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900715,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.69500,-0.00500,1.47433,-0.007372,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900715,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70000,0.00500,1.90563,0.009528,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900716,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70500,0.00500,2.28328,0.011416,244617,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900716,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.70000,-0.00500,1.60716,-0.008036,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900716,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70500,0.00500,2.01315,0.010066,244617,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900717,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.70000,-0.00500,1.40884,-0.007044,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,6
1771900717,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.70500,0.00500,1.82544,0.009127,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900718,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71000,0.00500,2.15953,0.010798,244617,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900718,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.70500,-0.00500,1.59344,-0.007967,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900718,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71000,0.00500,1.94381,0.009719,244617,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
1771900719,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71500,0.00500,2.12741,0.010637,244633,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,6
1771900721,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.71000,-0.00500,1.62808,-0.008140,245654,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.04000,0.0000,LIVE,3,6
